Checkbox,Task ID,Summary,Original Summary,Epic,Epic Name,Owner,Issue Type,Priority,Labels,Sprint,Sprint Date,Deadline,Time Estimate (days),Description
FALSE,EPIC-01,"Architecture, Baseline & Upgrade Separation","Hoàn thành epic lớn của Sprint 1: chốt project vision, tạo workflow với Codex và tách rõ 2 bản baseline/upgrade để project liền mạch, dễ demo và dễ so sánh.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Epic,P0,"epic,planning,rag,aio2026,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.0,"Epic-level item. Sprint start: 2026-06-20; sprint deadline: 2026-06-21. Definition of Done: repository có 2 vùng rõ ràng baseline/ và upgrade/, Codex hiểu project context, baseline chạy được, upgrade có scaffold để phát triển tiếp."
FALSE,EPIC-02,"Core RAG Reliability, Metadata & Citation",Hoàn thành epic lớn của Sprint 2 - Reliable RAG Core để project liền mạch từ baseline PDF RAG đến AIO Learning Assistant.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Epic,P0,"epic,planning,rag,aio2026",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.0,Epic-level item. Sprint start: 2026-06-22; sprint deadline: 2026-06-23. Definition of Done: các story/task con trong sprint đạt acceptance criteria và có commit rõ ràng.
FALSE,EPIC-03,Notion Data Source & Incremental Sync,Hoàn thành epic lớn của Sprint 3 - AIO Notion Assistant để project liền mạch từ baseline PDF RAG đến AIO Learning Assistant.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Epic,P0,"epic,planning,rag,aio2026",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.0,Epic-level item. Sprint start: 2026-06-24; sprint deadline: 2026-06-25. Definition of Done: các story/task con trong sprint đạt acceptance criteria và có commit rõ ràng.
FALSE,EPIC-04,"Conversational UX, Config & Performance",Hoàn thành epic lớn của Sprint 4 - Chat UX & Performance để project liền mạch từ baseline PDF RAG đến AIO Learning Assistant.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Epic,P0,"epic,planning,rag,aio2026",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.0,Epic-level item. Sprint start: 2026-06-26; sprint deadline: 2026-06-27. Definition of Done: các story/task con trong sprint đạt acceptance criteria và có commit rõ ràng.
FALSE,EPIC-05,"Evaluation, Testing, Documentation & Demo",Hoàn thành epic lớn của Sprint 5 - Evaluation & Release để project liền mạch từ baseline PDF RAG đến AIO Learning Assistant.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Epic,P1,"epic,planning,rag,aio2026",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.0,Epic-level item. Sprint start: 2026-06-28; sprint deadline: 2026-06-30. Definition of Done: các story/task con trong sprint đạt acceptance criteria và có commit rõ ràng.
FALSE,AIO-S1-001,Chốt project vision và scope nộp bài,Xác định project không chỉ là PDF chatbot mà là AIO 2026 Learning Assistant dựa trên RAG.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Story,P0,"planning,product-scope,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,"Acceptance: viết rõ problem, user, data sources, MVP/P1/P2; không mở scope quá deadline."
FALSE,AIO-S1-002,Tạo PROJECT_CONTEXT.md cho Codex,Tạo một file ngữ cảnh thống nhất để mọi prompt Codex bám cùng kiến trúc và naming.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"codex,documentation,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,"Tạo PROJECT_CONTEXT.md làm single source of truth cho Codex. Phải nêu rõ project có 2 bản: baseline/ là bản gốc theo đề bài để đối chiếu, upgrade/ là bản cải tiến được build từ baseline. Include product vision AIO 2026 Learning Assistant, stack, data sources, folder rules, coding rules, Definition of Done và quy tắc không sửa baseline nếu không được yêu cầu."
FALSE,AIO-S1-003,Audit baseline code và ghi nhận trạng thái gốc,"Đọc code baseline, xác định các file/hàm chính, điểm mạnh/yếu và ghi lại trong docs/baseline_audit.md trước khi phát triển upgrade.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"baseline,code-audit,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,"Scope: baseline/. Audit code Streamlit/PDF RAG hiện tại, ghi lại các function chính, flow chạy, điểm yếu và cách chạy demo bản gốc. Không refactor trong task này. Output: docs/baseline_audit.md."
FALSE,AIO-S1-004,Khởi tạo Git repo và branch strategy,"Thiết lập repo, .gitignore, main/dev branch hoặc commit convention đơn giản.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"git,workflow,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.15,"Acceptance: repo có initial commit; .gitignore bỏ chroma_db, .env, __pycache__, temp files."
FALSE,AIO-S1-005,Tạo cấu trúc thư mục tách baseline và upgrade,Tạo cấu trúc project gồm baseline/ giữ bản gốc và upgrade/ chứa bản cải tiến module hóa.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"architecture,refactor,baseline,upgrade","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.25,"Tạo/chuẩn hóa cấu trúc thư mục: baseline/ chứa code native gốc, upgrade/ chứa app.py và src/ module hóa, docs/ chứa tài liệu, tests/ chứa test cho upgrade. Acceptance: tree hiển thị rõ 2 bản; baseline vẫn chạy được; upgrade import được skeleton module."
